Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter
1700086990.3456047,0,80590,0,GPS1_Frame,42.33654833333333,-71.09255666666667,18.3,1.3,327611.9710217244,4689264.510657918,0.0,19,T
1700086991.345745,0,80591,0,GPS1_Frame,42.33654833333333,-71.09255833333333,18.3,1.3,327611.8337133984,4689264.514036803,0.0,19,T
1700086992.3454418,0,80592,0,GPS1_Frame,42.33654833333333,-71.09255833333333,18.3,1.3,327611.8337133984,4689264.514036803,0.0,19,T
1700086993.3356931,0,80593,0,GPS1_Frame,42.33655,-71.09256,18.3,1.3,327611.70095929835,4689264.702486342,0.0,19,T
1700086994.3350887,0,80594,0,GPS1_Frame,42.33655333333333,-71.09256833333333,18.3,1.3,327611.02352618333,4689265.089522124,0.0,19,T
1700086995.333646,0,80595,0,GPS1_Frame,42.33655999999999,-71.092585,18.6,1.3,327609.6686601677,4689265.863593895,0.0,19,T
1700086996.3330908,0,80596,0,GPS1_Frame,42.33657,-71.09261,18.7,1.3,327607.6363616887,4689267.024702063,0.0,19,T
1700086997.3311467,0,80597,0,GPS1_Frame,42.33658333333333,-71.09264333333334,19.0,1.3,327604.92663140624,4689268.572847235,0.0,19,T
1700086998.3385816,0,80598,0,GPS1_Frame,42.3366,-71.09268833333334,19.2,1.3,327601.2648537657,4689270.514788414,0.0,19,T
1700086999.3298917,0,80599,0,GPS1_Frame,42.336619999999996,-71.09274166666667,19.2,1.3,327596.92564645945,4689272.84376877,0.0,19,T
1700087000.3280234,0,80600,0,GPS1_Frame,42.33664,-71.09280166666667,19.2,1.3,327592.03720944,4689275.186269005,0.0,19,T
1700087001.3283436,0,80601,0,GPS1_Frame,42.336664999999996,-71.092865,19.6,1.3,327586.887824094,4689278.090743492,0.0,19,T
1700087002.326524,0,80602,0,GPS1_Frame,42.33668666666667,-71.09292833333333,19.9,1.3,327581.7293328233,4689280.62508058,0.0,19,T
1700087003.325936,0,80603,0,GPS1_Frame,42.33670666666667,-71.09298333333332,20.1,1.3,327577.2528298792,4689282.9574530125,0.0,19,T
1700087004.3258846,0,80604,0,GPS1_Frame,42.33672166666667,-71.09302166666666,20.6,1.3,327574.1357434745,4689284.700819909,0.0,19,T
1700087005.3242579,0,80605,0,GPS1_Frame,42.33673,-71.09304333333333,21.0,1.3,327572.37351658207,4689285.670108733,0.0,19,T
1700087006.3253336,0,80606,0,GPS1_Frame,42.336735,-71.09305666666667,21.2,1.3,327571.2887190908,4689286.252358185,0.0,19,T
1700087007.323326,0,80607,0,GPS1_Frame,42.33673999999999,-71.09307,21.6,1.3,327570.2039217743,4689286.834607812,0.0,19,T
1700087008.3236187,0,80608,0,GPS1_Frame,42.336745,-71.09308666666668,22.0,1.3,327568.8445088287,4689287.423617092,0.0,19,T
1700087009.3218968,0,80609,0,GPS1_Frame,42.33675166666667,-71.09310833333333,22.3,1.3,327567.0777278742,4689288.207836627,0.0,19,T
1700087010.3235865,0,80610,0,GPS1_Frame,42.336761666666675,-71.09313166666668,22.5,1.3,327565.18275039986,4689289.365577764,0.0,19,T
1700087011.3213694,0,80611,0,GPS1_Frame,42.336769999999994,-71.093155,22.4,1.3,327563.28321800055,4689290.338248767,0.0,19,T
1700087012.3264809,0,80612,0,GPS1_Frame,42.33677666666667,-71.093175,22.5,1.3,327561.65374618047,4689291.1190898605,0.0,19,T
1700087013.3186076,0,80613,0,GPS1_Frame,42.33678499999999,-71.09319666666667,22.6,1.3,327559.8915225237,4689292.088381929,0.0,19,T
1700087014.3160887,0,80614,0,GPS1_Frame,42.336795,-71.09322166666668,22.7,1.3,327557.8592394382,4689293.249505044,0.0,19,T
1700087015.315085,0,80615,0,GPS1_Frame,42.336806666666675,-71.09325,22.8,1.3,327555.5568972195,4689294.602459443,0.0,19,T
1700087016.3164456,0,80616,0,GPS1_Frame,42.33682166666667,-71.09328833333333,22.9,1.3,327552.439821085,4689296.345836329,0.0,19,T
1700087017.3153822,0,80617,0,GPS1_Frame,42.33684166666667,-71.09333833333334,23.0,1.3,327548.3752603767,4689298.668087647,0.0,19,T
1700087018.314417,0,80618,0,GPS1_Frame,42.336865,-71.09339666666666,23.8,1.3,327543.63327620144,4689301.377383941,0.0,19,T
1700087019.3109097,0,80619,0,GPS1_Frame,42.336885,-71.09345,24.5,1.3,327539.2941059788,4689303.706401211,0.0,19,T
1700087020.3180099,0,80620,0,GPS1_Frame,42.33690166666667,-71.09349833333334,24.7,1.3,327535.3577486193,4689305.655138675,0.0,19,T
1700087021.3122516,0,80621,0,GPS1_Frame,42.33691666666667,-71.09353666666667,25.3,1.3,327532.24068214244,4689307.398524866,0.0,19,T
1700087022.3129158,0,80622,0,GPS1_Frame,42.336925,-71.09356,25.9,1.3,327530.3411589018,4689308.3712051045,0.0,19,T
1700087023.3172882,0,80623,0,GPS1_Frame,42.33692666666668,-71.09356833333332,25.9,2.4,327529.65917779563,4689308.57317836,0.0,19,T
1700087024.3217018,0,80624,0,GPS1_Frame,42.33692666666668,-71.09356666666666,25.7,1.7,327529.79648530355,4689308.569797838,0.0,19,T
1700087025.328073,0,80625,0,GPS1_Frame,42.33692666666668,-71.09356666666666,25.8,1.3,327529.79648530355,4689308.569797838,0.0,19,T
1700087026.3148394,0,80626,0,GPS1_Frame,42.33692666666668,-71.09356666666666,25.8,1.3,327529.79648530355,4689308.569797838,0.0,19,T
1700087027.319673,0,80627,0,GPS1_Frame,42.33692666666668,-71.09356666666666,25.8,1.3,327529.79648530355,4689308.569797838,0.0,19,T
1700087028.3215213,0,80628,0,GPS1_Frame,42.33692666666668,-71.09356666666666,25.8,1.3,327529.79648530355,4689308.569797838,0.0,19,T
1700087029.3200033,0,80629,0,GPS1_Frame,42.33692666666668,-71.09356666666666,25.8,1.3,327529.79648530355,4689308.569797838,0.0,19,T
1700087030.3193254,0,80630,0,GPS1_Frame,42.33692666666668,-71.09356666666666,25.8,1.3,327529.79648530355,4689308.569797838,0.0,19,T
1700087031.3162954,0,80631,0,GPS1_Frame,42.33692666666668,-71.09356666666666,25.8,1.3,327529.79648530355,4689308.569797838,0.0,19,T
1700087032.3097131,0,80632,0,GPS1_Frame,42.33692666666668,-71.09356666666666,25.8,1.3,327529.79648530355,4689308.569797838,0.0,19,T
1700087033.3161383,0,80633,0,GPS1_Frame,42.33692666666668,-71.09356666666666,25.8,1.3,327529.79648530355,4689308.569797838,0.0,19,T
1700087034.317032,0,80634,0,GPS1_Frame,42.33692666666668,-71.09356666666666,25.8,1.3,327529.79648530355,4689308.569797838,0.0,19,T
1700087035.322122,0,80635,0,GPS1_Frame,42.33692666666668,-71.09356666666666,25.8,1.3,327529.79648530355,4689308.569797838,0.0,19,T
1700087036.313441,0,80636,0,GPS1_Frame,42.33692666666668,-71.09356666666666,25.8,1.3,327529.79648530355,4689308.569797838,0.0,19,T
1700087037.311897,0,80637,0,GPS1_Frame,42.33692666666668,-71.09356666666666,25.8,1.3,327529.79648530355,4689308.569797838,0.0,19,T
1700087038.3106549,0,80638,0,GPS1_Frame,42.33692666666668,-71.09356666666666,25.8,1.3,327529.79648530355,4689308.569797838,0.0,19,T
1700087039.3111477,0,80639,0,GPS1_Frame,42.33692666666668,-71.09356666666666,25.8,1.3,327529.79648530355,4689308.569797838,0.0,19,T
1700087040.3097925,0,80640,0,GPS1_Frame,42.33692666666668,-71.09356666666666,25.8,1.3,327529.79648530355,4689308.569797838,0.0,19,T
1700087041.3092835,0,80641,0,GPS1_Frame,42.33692666666668,-71.09356666666666,25.8,1.3,327529.79648530355,4689308.569797838,0.0,19,T
1700087042.3078444,0,80642,0,GPS1_Frame,42.33692666666668,-71.09356666666666,25.8,1.3,327529.79648530355,4689308.569797838,0.0,19,T
1700087043.3003953,0,80643,0,GPS1_Frame,42.33692666666668,-71.09356666666666,25.8,1.3,327529.79648530355,4689308.569797838,0.0,19,T
1700087044.3014233,0,80644,0,GPS1_Frame,42.33692666666668,-71.09356666666666,25.8,1.3,327529.79648530355,4689308.569797838,0.0,19,T
1700087045.3016262,0,80645,0,GPS1_Frame,42.33692666666668,-71.09356666666666,25.8,1.3,327529.79648530355,4689308.569797838,0.0,19,T
1700087046.3109176,0,80646,0,GPS1_Frame,42.33692666666668,-71.09356666666666,25.8,1.3,327529.79648530355,4689308.569797838,0.0,19,T
1700087047.3095655,0,80647,0,GPS1_Frame,42.33692666666668,-71.09356666666666,25.8,1.3,327529.79648530355,4689308.569797838,0.0,19,T
1700087048.3080554,0,80648,0,GPS1_Frame,42.33692666666668,-71.09356666666666,25.9,1.3,327529.79648530355,4689308.569797838,0.0,19,T
1700087049.3083732,0,80649,0,GPS1_Frame,42.33692666666668,-71.09356666666666,25.9,1.3,327529.79648530355,4689308.569797838,0.0,19,T
1700087050.3098378,0,80650,0,GPS1_Frame,42.33692666666668,-71.09356666666666,25.9,1.3,327529.79648530355,4689308.569797838,0.0,19,T
1700087051.3077772,0,80651,0,GPS1_Frame,42.33692666666668,-71.09356666666666,25.9,1.3,327529.79648530355,4689308.569797838,0.0,19,T
1700087052.3108664,0,80652,0,GPS1_Frame,42.33692666666668,-71.09356666666666,25.9,1.3,327529.79648530355,4689308.569797838,0.0,19,T
1700087053.310174,0,80653,0,GPS1_Frame,42.33692666666668,-71.09356666666666,25.9,1.3,327529.79648530355,4689308.569797838,0.0,19,T
1700087054.315818,0,80654,0,GPS1_Frame,42.33692666666668,-71.09356666666666,25.9,1.3,327529.79648530355,4689308.569797838,0.0,19,T
1700087055.302965,0,80655,0,GPS1_Frame,42.33692666666668,-71.09356666666666,25.9,1.3,327529.79648530355,4689308.569797838,0.0,19,T
1700087056.3107862,0,80656,0,GPS1_Frame,42.33692666666668,-71.09356666666666,25.9,1.3,327529.79648530355,4689308.569797838,0.0,19,T
1700087057.3106258,0,80657,0,GPS1_Frame,42.33692666666668,-71.09356666666666,25.9,1.3,327529.79648530355,4689308.569797838,0.0,19,T
1700087058.3127098,0,80658,0,GPS1_Frame,42.33692666666668,-71.09356666666666,25.9,1.3,327529.79648530355,4689308.569797838,0.0,19,T
1700087059.3116105,0,80659,0,GPS1_Frame,42.33692666666668,-71.09356666666666,25.9,1.3,327529.79648530355,4689308.569797838,0.0,19,T
1700087060.3128202,0,80660,0,GPS1_Frame,42.33692666666668,-71.09356666666666,25.9,1.3,327529.79648530355,4689308.569797838,0.0,19,T
1700087061.306323,0,80661,0,GPS1_Frame,42.33692666666668,-71.09356666666666,25.9,1.3,327529.79648530355,4689308.569797838,0.0,19,T
1700087062.3126805,0,80662,0,GPS1_Frame,42.33692666666668,-71.09356666666666,25.9,1.3,327529.79648530355,4689308.569797838,0.0,19,T
1700087063.3132067,0,80663,0,GPS1_Frame,42.33692666666668,-71.09356666666666,25.9,1.3,327529.79648530355,4689308.569797838,0.0,19,T
1700087064.3133616,0,80664,0,GPS1_Frame,42.33692666666668,-71.09356666666666,25.9,1.3,327529.79648530355,4689308.569797838,0.0,19,T
1700087065.314135,0,80665,0,GPS1_Frame,42.33692666666668,-71.09356666666666,25.9,1.3,327529.79648530355,4689308.569797838,0.0,19,T
1700087066.3137965,0,80666,0,GPS1_Frame,42.33692666666668,-71.09356666666666,25.9,1.3,327529.79648530355,4689308.569797838,0.0,19,T
1700087067.312187,0,80667,0,GPS1_Frame,42.33692666666668,-71.09356666666666,25.9,1.3,327529.79648530355,4689308.569797838,0.0,19,T
1700087068.307148,0,80668,0,GPS1_Frame,42.33692666666668,-71.09356666666666,25.9,1.3,327529.79648530355,4689308.569797838,0.0,19,T
1700087069.3095663,0,80669,0,GPS1_Frame,42.33692666666668,-71.09356666666666,25.9,1.3,327529.79648530355,4689308.569797838,0.0,19,T
1700087070.3169103,0,80670,0,GPS1_Frame,42.33692666666668,-71.09356666666666,25.9,1.3,327529.79648530355,4689308.569797838,0.0,19,T
1700087071.3143566,0,80671,0,GPS1_Frame,42.33692666666668,-71.09356666666666,25.9,1.3,327529.79648530355,4689308.569797838,0.0,19,T
1700087072.3165104,0,80672,0,GPS1_Frame,42.33692666666668,-71.09356666666666,25.9,1.3,327529.79648530355,4689308.569797838,0.0,19,T
1700087073.3091173,0,80673,0,GPS1_Frame,42.33692666666668,-71.09356666666666,25.9,1.3,327529.79648530355,4689308.569797838,0.0,19,T
1700087074.3164458,0,80674,0,GPS1_Frame,42.336925,-71.09356333333334,25.5,1.3,327530.0665438766,4689308.377966128,0.0,19,T
1700087075.3166778,0,80675,0,GPS1_Frame,42.33692666666668,-71.09356833333332,25.6,1.3,327529.65917779563,4689308.57317836,0.0,19,T
1700087076.313069,0,80676,0,GPS1_Frame,42.336928333333326,-71.09357833333334,25.1,1.8,327528.8398892189,4689308.778532217,0.0,19,T
1700087077.314054,0,80677,0,GPS1_Frame,42.336935,-71.09359500000001,24.8,1.8,327527.4850402234,4689309.552620443,0.0,19,T
1700087078.31146,0,80678,0,GPS1_Frame,42.336941666666675,-71.09361333333332,24.7,1.3,327525.9928840437,4689310.330089535,0.0,19,T
1700087079.311802,0,80679,0,GPS1_Frame,42.33694833333334,-71.09363,24.8,1.3,327524.63803564344,4689311.10417833,0.0,19,T
1700087080.310676,0,80680,0,GPS1_Frame,42.336953333333334,-71.09364000000001,24.7,1.3,327523.8278607139,4689311.679674142,0.0,19,T
1700087081.317819,0,80681,0,GPS1_Frame,42.336955,-71.09364833333333,24.7,1.3,327523.1458800897,4689311.881648048,0.0,19,T
1700087082.3193283,0,80682,0,GPS1_Frame,42.33695833333333,-71.09366166666668,24.5,1.3,327522.0565338315,4689312.278834705,0.0,19,T
1700087083.3183687,0,80683,0,GPS1_Frame,42.336955,-71.09368333333333,24.2,1.3,327520.2624236847,4689311.95264234,0.0,19,T
1700087084.3142502,0,80684,0,GPS1_Frame,42.336941666666675,-71.09371333333334,23.7,1.3,327517.7544354261,4689310.532930119,0.0,19,T
