Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter
1700087085.314059,0,80685,0,GPS1_Frame,42.336915,-71.09374333333334,23.1,1.3,327515.2099914346,4689307.632653353,0.0,19,T
1700087086.3140683,0,80686,0,GPS1_Frame,42.33687666666666,-71.09377166666667,22.7,1.3,327512.77095471264,4689303.433501875,0.0,19,T
1700087087.3211825,0,80687,0,GPS1_Frame,42.33682833333334,-71.093795,21.1,1.3,327510.7164966866,4689298.113784466,0.0,19,T
1700087088.3217044,0,80688,0,GPS1_Frame,42.336771666666664,-71.09382666666667,20.2,1.3,327507.952711649,4689291.885618896,0.0,19,T
1700087089.3150933,0,80689,0,GPS1_Frame,42.33670666666667,-71.09386333333333,19.6,1.3,327504.7542127738,4689284.742243948,0.0,19,T
1700087090.3212223,0,80690,0,GPS1_Frame,42.336636666666664,-71.09390333333334,19.3,1.3,327501.2674201352,4689277.050420447,0.0,19,T
1700087091.3188636,0,80691,0,GPS1_Frame,42.33656666666668,-71.09394666666667,19.0,1.3,327497.5060038365,4689269.365360802,0.0,19,T
1700087092.3163157,0,80692,0,GPS1_Frame,42.336499999999994,-71.09398833333333,18.8,1.3,327493.8910029697,4689262.047063151,0.0,19,T
1700087093.3228664,0,80693,0,GPS1_Frame,42.33643666666667,-71.094025,18.3,1.3,327490.697035646,4689255.088764779,0.0,19,T
1700087094.3225744,0,80694,0,GPS1_Frame,42.33637333333333,-71.09406,17.7,1.3,327487.6403711759,4689248.127086435,0.0,19,T
1700087095.3191793,0,80695,0,GPS1_Frame,42.336311666666674,-71.09409666666667,17.5,1.3,327484.4509498093,4689241.3538613515,0.0,19,T
1700087096.325512,0,80696,0,GPS1_Frame,42.336253333333325,-71.09413166666667,17.2,1.3,327481.40794696414,4689234.947397498,0.0,19,T
1700087097.32653,0,80697,0,GPS1_Frame,42.33620333333333,-71.09416166666666,17.0,1.8,327478.7996547008,4689229.456143739,0.0,19,T
1700087098.3236558,0,80698,0,GPS1_Frame,42.336163333333324,-71.09418666666667,16.9,1.3,327476.6306326499,4689225.065170283,0.0,19,T
1700087099.3187423,0,80699,0,GPS1_Frame,42.33613833333334,-71.09420166666668,17.1,1.3,327475.3264835462,4689222.319544113,0.0,19,T
1700087100.3193262,0,80700,0,GPS1_Frame,42.336124999999996,-71.09420833333334,16.9,1.3,327474.7407843767,4689220.852505006,0.0,19,T
1700087101.3191745,0,80701,0,GPS1_Frame,42.33612,-71.09421166666667,16.9,1.3,327474.4524924969,4689220.304056128,0.0,19,T
1700087102.3219082,0,80702,0,GPS1_Frame,42.33612,-71.09421166666667,17.2,1.3,327474.4524924969,4689220.304056128,0.0,19,T
1700087103.3230877,0,80703,0,GPS1_Frame,42.33612,-71.09421166666667,17.1,1.3,327474.4524924969,4689220.304056128,0.0,19,T
1700087104.3236675,0,80704,0,GPS1_Frame,42.33612,-71.09421166666667,17.1,1.3,327474.4524924969,4689220.304056128,0.0,19,T
1700087105.3223038,0,80705,0,GPS1_Frame,42.33612,-71.09421166666667,17.1,1.3,327474.4524924969,4689220.304056128,0.0,19,T
1700087106.3234158,0,80706,0,GPS1_Frame,42.336115,-71.09421333333333,16.8,1.3,327474.3015098542,4689219.752225705,0.0,19,T
1700087107.3229513,0,80707,0,GPS1_Frame,42.336108333333335,-71.09421666666667,17.0,1.3,327474.00866010203,4689219.018706187,0.0,19,T
1700087108.3225212,0,80708,0,GPS1_Frame,42.33609333333334,-71.09422166666667,16.8,1.8,327473.5557119517,4689217.363214953,0.0,19,T
1700087109.3311388,0,80709,0,GPS1_Frame,42.336073333333324,-71.09423166666667,16.8,1.8,327472.6771620492,4689215.16265651,0.0,19,T
1700087110.3230262,0,80710,0,GPS1_Frame,42.336045,-71.094245,16.6,1.3,327471.50120354956,4689212.043508092,0.0,19,T
1700087111.3153045,0,80711,0,GPS1_Frame,42.33600166666667,-71.094265,16.2,1.3,327469.7349850737,4689207.2722504735,0.0,19,T
1700087112.3166676,0,80712,0,GPS1_Frame,42.335946666666665,-71.09429666666666,16.4,1.3,327466.97569136333,4689201.229170432,0.0,19,T
1700087113.3147883,0,80713,0,GPS1_Frame,42.33589666666667,-71.09432666666666,16.2,1.3,327464.36737707304,4689195.737921615,0.0,19,T
1700087114.3137653,0,80714,0,GPS1_Frame,42.33585500000001,-71.09436166666666,16.9,1.3,327461.3699198349,4689191.182172327,0.0,19,T
1700087115.3172243,0,80715,0,GPS1_Frame,42.33581833333333,-71.09437833333332,17.0,1.3,327459.89654258953,4689187.144436018,0.0,19,T
1700087116.3158202,0,80716,0,GPS1_Frame,42.335791666666665,-71.09439333333333,17.1,1.3,327458.5878227435,4689184.21374206,0.0,19,T
1700087117.3156939,0,80717,0,GPS1_Frame,42.335766666666665,-71.09440500000001,17.1,1.3,327457.55828015826,4689181.461355249,0.0,19,T
1700087118.3187554,0,80718,0,GPS1_Frame,42.335746666666665,-71.094415,17.1,1.3,327456.6797215309,4689179.260798653,0.0,19,T
1700087119.3183033,0,80719,0,GPS1_Frame,42.33571833333334,-71.094425,16.8,1.3,327455.77837131964,4689176.134888904,0.0,19,T
1700087120.316613,0,80720,0,GPS1_Frame,42.33568666666667,-71.09444166666667,16.5,1.3,327454.31866306654,4689172.652365621,0.0,19,T
1700087121.3187003,0,80721,0,GPS1_Frame,42.33564166666667,-71.09446166666666,16.7,1.3,327452.54786659626,4689167.696041324,0.0,19,T
1700087122.3173497,0,80722,0,GPS1_Frame,42.33559166666667,-71.09448833333333,16.7,1.3,327450.21415119467,4689162.198033455,0.0,19,T
1700087123.318211,0,80723,0,GPS1_Frame,42.33553666666667,-71.09452,16.5,1.3,327447.4548256105,4689156.154960481,0.0,19,T
1700087124.3190951,0,80724,0,GPS1_Frame,42.33547166666667,-71.09455666666666,16.3,1.3,327444.25621274416,4689149.011610938,0.0,19,T
1700087125.3187094,0,80725,0,GPS1_Frame,42.33540333333334,-71.09459833333334,16.6,1.3,327440.63654424355,4689141.50826795,0.0,19,T
1700087126.3182588,0,80726,0,GPS1_Frame,42.33533166666666,-71.09464333333334,16.9,1.3,327436.733129253,4689133.641549881,0.0,19,T
1700087127.3228524,0,80727,0,GPS1_Frame,42.335261666666675,-71.09468666666666,17.2,1.3,327432.9715759889,4689125.956522148,0.0,19,T
1700087128.320199,0,80728,0,GPS1_Frame,42.33519666666666,-71.09473,17.1,1.3,327429.22369154706,4689118.826708194,0.0,19,T
1700087129.3175883,0,80729,0,GPS1_Frame,42.33513333333334,-71.09477,17.0,1.8,327425.7549817285,4689111.875201839,0.0,19,T
1700087130.3223617,0,80730,0,GPS1_Frame,42.335075,-71.09481000000001,16.8,1.3,327422.29994248465,4689105.478908979,0.0,19,T
1700087131.3245182,0,80731,0,GPS1_Frame,42.335023333333325,-71.09484333333333,16.5,1.3,327419.4123802988,4689099.809369969,0.0,19,T
1700087132.3232477,0,80732,0,GPS1_Frame,42.334979999999995,-71.09487166666666,16.1,1.3,327416.9595447004,4689095.055037397,0.0,19,T
1700087133.3229957,0,80733,0,GPS1_Frame,42.33495,-71.09489,14.6,1.3,327415.3670504038,4689091.760974823,0.0,19,T
1700087134.3215802,0,80734,0,GPS1_Frame,42.33493,-71.09490166666666,13.9,1.3,327414.3511573918,4689089.563805738,0.0,19,T
1700087135.3231456,0,80735,0,GPS1_Frame,42.33491833333333,-71.09491,13.4,1.3,327413.63268362434,4689088.285224614,0.0,19,T
1700087136.3256671,0,80736,0,GPS1_Frame,42.33491000000001,-71.094915,13.0,1.3,327413.1979518757,4689087.370019467,0.0,19,T
1700087137.3222508,0,80737,0,GPS1_Frame,42.334905,-71.09491666666666,12.6,1.3,327413.0469623138,4689086.818190245,0.0,19,T
1700087138.3237672,0,80738,0,GPS1_Frame,42.33490333333332,-71.09492,12.9,1.3,327412.767779242,4689086.639884974,0.0,19,T
1700087139.3241692,0,80739,0,GPS1_Frame,42.33490333333332,-71.09492333333333,13.2,1.3,327412.4931553856,4689086.646650351,0.0,19,T
1700087140.3260763,0,80740,0,GPS1_Frame,42.3349,-71.09492666666667,13.3,1.3,327412.2094130572,4689086.28327447,0.0,19,T
1700087141.3244457,0,80741,0,GPS1_Frame,42.33488833333334,-71.09493666666667,13.5,1.3,327411.35362663714,4689085.008076262,0.0,19,T
1700087142.3272624,0,80742,0,GPS1_Frame,42.334880000000005,-71.09494333333333,13.6,1.3,327410.7815824363,4689084.096253966,0.0,19,T
1700087143.3260076,0,80743,0,GPS1_Frame,42.334878333333336,-71.09494500000001,13.7,1.3,327410.639711181,4689083.914566056,0.0,19,T
1700087144.3266413,0,80744,0,GPS1_Frame,42.334878333333336,-71.09494666666666,13.7,1.3,327410.5023991992,4689083.917948782,0.0,19,T
1700087145.3425672,0,80745,0,GPS1_Frame,42.33487333333334,-71.09495,13.8,1.3,327410.2140973768,4689083.369502345,0.0,19,T
1700087146.3254468,0,80746,0,GPS1_Frame,42.33486333333334,-71.09496166666666,13.8,1.3,327409.22555755905,4689082.282757748,0.0,19,T
1700087147.3261063,0,80747,0,GPS1_Frame,42.33485,-71.094975,13.6,1.3,327408.09058672655,4689080.829254788,0.0,19,T
1700087148.3293138,0,80748,0,GPS1_Frame,42.33484,-71.094985,13.4,1.3,327407.2393583049,4689079.7391276825,0.0,19,T
1700087149.3254151,0,80749,0,GPS1_Frame,42.334831666666666,-71.094995,13.2,1.3,327406.3926890061,4689078.834071304,0.0,19,T
1700087150.3262517,0,80750,0,GPS1_Frame,42.33482333333333,-71.09500666666666,13.0,1.3,327405.40870738844,4689077.932397848,0.0,19,T
1700087151.3295817,0,80751,0,GPS1_Frame,42.33481666666667,-71.09502166666667,12.8,1.3,327404.1546607152,4689077.222560847,0.0,19,T
1700087152.3307352,0,80752,0,GPS1_Frame,42.334811666666674,-71.09504333333332,12.6,1.3,327402.3559247348,4689076.711326207,0.0,19,T
1700087153.3278427,0,80753,0,GPS1_Frame,42.334813333333344,-71.095075,12.4,1.3,327399.75155383616,4689076.960672108,0.0,19,T
1700087154.3289988,0,80754,0,GPS1_Frame,42.334825,-71.09512166666667,12.2,1.3,327395.9387319012,4689078.35088976,0.0,19,T
1700087155.3276017,0,80755,0,GPS1_Frame,42.33484833333333,-71.09518333333334,12.0,1.3,327390.92202124564,4689081.067051857,0.0,19,T
1700087156.3287761,0,80756,0,GPS1_Frame,42.334880000000005,-71.09526000000001,11.9,1.3,327384.6923061699,4689084.739019848,0.0,19,T
1700087157.3285394,0,80757,0,GPS1_Frame,42.33491833333333,-71.09535,11.9,1.3,327377.38234279794,4689089.178343097,0.0,19,T
1700087158.3285666,0,80758,0,GPS1_Frame,42.33495833333333,-71.09544666666667,11.9,1.3,327369.5277015922,4689093.81627904,0.0,19,T
1700087159.3298078,0,80759,0,GPS1_Frame,42.33500000000001,-71.09554499999999,11.9,1.3,327361.5403194024,4689098.64267846,0.0,19,T
1700087160.330667,0,80760,0,GPS1_Frame,42.33503833333332,-71.095645,11.8,1.3,327353.40651470143,4689103.102329908,0.0,19,T
1700087161.330334,0,80761,0,GPS1_Frame,42.33507666666666,-71.09574500000001,11.7,1.3,327345.27272005414,4689107.56199113,0.0,19,T
1700087162.3310382,0,80762,0,GPS1_Frame,42.335113333333325,-71.09584166666667,11.6,1.3,327337.40899715456,4689111.829823119,0.0,19,T
1700087163.342703,0,80763,0,GPS1_Frame,42.335150000000006,-71.095935,11.6,1.3,327329.8199063464,4689116.090895579,0.0,19,T
1700087164.3320556,0,80764,0,GPS1_Frame,42.335185,-71.09602666666666,11.5,1.3,327322.3635741732,4689120.163521424,0.0,19,T
1700087165.330838,0,80765,0,GPS1_Frame,42.33521833333332,-71.09611666666666,11.4,1.3,327315.0399998004,4689124.047700198,0.0,19,T
1700087166.3339708,0,80766,0,GPS1_Frame,42.335249999999995,-71.09620166666667,11.4,1.3,327308.12380478025,4689127.73666194,0.0,19,T
1700087167.3326523,0,80767,0,GPS1_Frame,42.33528,-71.09628833333333,11.4,1.3,327301.06574346725,4689131.243944981,0.0,19,T
1700087168.3315635,0,80768,0,GPS1_Frame,42.33531,-71.09637500000001,11.5,1.3,327294.00768895744,4689134.751235357,0.0,19,T
1700087169.33376,0,80769,0,GPS1_Frame,42.33533666666667,-71.09646333333333,11.6,1.3,327286.80320502224,4689137.891776924,0.0,19,T
1700087170.3326776,0,80770,0,GPS1_Frame,42.335365,-71.09655666666666,11.6,1.3,327279.1913572532,4689141.227552761,0.0,19,T
1700087171.334869,0,80771,0,GPS1_Frame,42.33539333333333,-71.09665833333334,11.7,1.2,327270.89296202245,4689144.580264561,0.0,19,T
1700087172.3337595,0,80772,0,GPS1_Frame,42.33542166666666,-71.09676666666665,11.8,1.2,327262.0453310588,4689147.94652912,0.0,19,T
1700087173.3336732,0,80773,0,GPS1_Frame,42.335451666666664,-71.09688,11.9,1.2,327252.79033938324,4689151.50803335,0.0,19,T
1700087174.3338537,0,80774,0,GPS1_Frame,42.335480000000004,-71.09699666666667,11.8,1.2,327243.25617141166,4689154.891251516,0.0,19,T
1700087175.334321,0,80775,0,GPS1_Frame,42.33550833333334,-71.097115,11.7,1.2,327233.5847014296,4689158.277869178,0.0,19,T
1700087176.335301,0,80776,0,GPS1_Frame,42.33553666666667,-71.09723333333334,11.7,1.2,327223.91324018757,4689161.66450048,0.0,19,T
1700087177.3343134,0,80777,0,GPS1_Frame,42.335566666666665,-71.09735500000001,11.6,1.2,327213.97173125175,4689165.242989349,0.0,19,T
1700087178.3376744,0,80778,0,GPS1_Frame,42.33559666666667,-71.09748166666667,11.5,1.2,327203.6183005209,4689168.8316531265,0.0,19,T
1700087179.336914,0,80779,0,GPS1_Frame,42.33562833333334,-71.09761166666667,11.4,1.2,327192.99482409144,4689172.612177296,0.0,19,T
1700087180.3360941,0,80780,0,GPS1_Frame,42.335660000000004,-71.097745,11.4,1.2,327182.0967377872,4689176.39949244,0.0,19,T
1700087181.3359213,0,80781,0,GPS1_Frame,42.33569166666666,-71.09787833333333,11.4,1.2,327171.1986624881,4689180.186824898,0.0,19,T
1700087182.33611,0,80782,0,GPS1_Frame,42.335723333333334,-71.09801333333333,11.6,1.2,327160.16328802356,4689183.977562365,0.0,19,T
1700087183.336194,0,80783,0,GPS1_Frame,42.33575333333333,-71.09814833333333,11.8,1.8,327149.12335836724,4689187.583246889,0.0,19,T
